fish_ID,age,capt,area,d18O,res,Sr,Na,Mg,Ba,Mn,year,dist
BH-00670,4,KB,WRB,-6.28849851428571,-0.241601498760169,0.00441555555555556,0.00763111111111111,0.000100388888888889,7.60444444444445e-06,5.13666666666667e-05,1,0
BH-00670,4,KB,WRB,-6.45062875714286,-0.337213036959561,0.00404936936936937,0.00756,8.56567567567568e-05,7.29504504504505e-06,5.67924924924925e-05,1,41.30375286
BH-00670,4,KB,WRB,-6.40767117142857,-0.28839715837155,0.00472723723723724,0.00801387387387387,8.81003003003003e-05,8.03375375375376e-06,5.31801801801802e-05,1,82.87339742
BH-00670,4,KB,WRB,-6.26216967142857,-0.0505680207497899,0.00474498498498499,0.0081715015015015,9.87537537537537e-05,1.12518318318318e-05,6.93594594594595e-05,1,124.1692393
BH-00670,4,KB,WRB,-6.47418614285714,-0.198595921155667,0.00461315315315315,0.00812192192192192,0.000109392792792793,1.02362462462462e-05,8.13942942942943e-05,1,165.7467948
BH-00670,4,KB,WRB,-6.64601648571429,-0.328489364423681,0.00415747747747748,0.00799036036036036,0.000122102102102102,8.05549549549549e-06,9.03876876876877e-05,1,207.0410587
BH-00670,4,KB,WRB,-6.31067017142857,-0.0268903754998712,0.00388087087087087,0.00750666666666667,0.000118484984984985,6.17945945945946e-06,5.36048048048048e-05,1,248.6201923
BH-00670,4,KB,WRB,-6.0792535,0.108867882590882,0.0036521021021021,0.00814858858858859,9.41156156156156e-05,7.29762762762763e-06,6.29741741741742e-05,1,290.056891
BH-00670,4,KB,WRB,-5.7009496,0.435475422341193,0.00398213213213213,0.00856510510510511,9.58063063063063e-05,5.81687687687687e-06,4.05585585585585e-05,1,331.4935897
BH-00670,4,KB,WRB,-5.54159081428571,0.569676777961301,0.00366756756756757,0.00826252252252252,7.40861861861862e-05,5.82273273273274e-06,4.08612612612613e-05,1,414.3669871
BH-00670,4,KB,WRB,-5.78686477142857,0.305417660884659,0.00401057057057057,0.00817828828828829,7.7421021021021e-05,6.27570570570571e-06,3.99246246246246e-05,1,455.8036858
BH-00670,4,KB,WRB,-5.43627544285714,0.587557324485337,0.00413183183183183,0.00808039039039039,6.55096096096096e-05,6.17936936936937e-06,2.37321321321321e-05,1,497.2403845
BH-00670,4,KB,WRB,-5.27968811428571,0.745489522434654,0.00454480480480481,0.00762015015015015,5.54336336336336e-05,6.04024024024024e-06,1.14924024024024e-05,1,538.6770832
BH-00670,4,KB,WRB,-5.30185977142857,0.799033487971495,0.00497876876876877,0.00700963963963964,5.11015015015015e-05,5.863003003003e-06,4.81678318318318e-06,1,580.1137819
